Fri Nov 12 03:55:00 2021    output.dat

         21131116 function calls (21073151 primitive calls) in 14.283 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  3612228    0.292    0.000    0.313    0.000 {built-in method builtins.isinstance}
  2031590    0.183    0.000    0.183    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\base.py:80(get_shape)
  1752000    0.495    0.000    0.495    0.000 C:\Users\timot\EI_ST5\processing.py:17(is_in_interior_domain)
1112630/1111697    0.079    0.000    0.079    0.000 {built-in method builtins.len}
   916150    0.541    0.000    1.792    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\lil.py:299(_set_intXint)
   916150    1.157    0.000    3.206    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\lil.py:323(__setitem__)
   916150    1.094    0.000    1.094    0.000 {built-in method scipy.sparse._csparsetools.lil_insert}
   499320    0.124    0.000    0.124    0.000 C:\Users\timot\EI_ST5\processing.py:31(is_on_dirichlet_boundary)
   499320    0.130    0.000    0.130    0.000 C:\Users\timot\EI_ST5\processing.py:45(is_on_neumann_boundary)
   499320    0.126    0.000    0.126    0.000 C:\Users\timot\EI_ST5\processing.py:59(is_on_robin_boundary)
   292000    0.051    0.000    0.051    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\lil.py:346(<listcomp>)
   265964    0.116    0.000    0.116    0.000 {built-in method numpy.asarray}
   245664    0.468    0.000    0.468    0.000 {method 'reduce' of 'numpy.ufunc' objects}
224389/222695    0.111    0.000    0.426    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
   215898    0.050    0.000    0.050    0.000 {built-in method builtins.iter}
   198595    0.020    0.000    0.020    0.000 {built-in method _operator.index}
   197140    0.023    0.000    0.023    0.000 {built-in method builtins.hasattr}
   195977    0.021    0.000    0.021    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\fromnumeric.py:3123(_ndim_dispatcher)
   195977    0.131    0.000    0.211    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\fromnumeric.py:3127(ndim)
   195977    0.088    0.000    0.390    0.000 <__array_function__ internals>:2(ndim)
   194545    0.018    0.000    0.018    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\csr.py:235(_swap)
   193451    0.039    0.000    0.056    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\base.py:1205(isspmatrix)
   192720    0.125    0.000    0.528    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\sputils.py:198(isintlike)
   189800    0.079    0.000    0.126    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\_index.py:340(_first_element_bool)
   189800    0.080    0.000    0.227    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\_index.py:355(_compatible_boolean_index)
   182117    0.015    0.000    0.015    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\inspect.py:2558(kind)
   178504    0.021    0.000    0.021    0.000 {method 'startswith' of 'str' objects}
   177837    0.013    0.000    0.013    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\pyparsing.py:5503(<lambda>)
   177836    0.027    0.000    0.048    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\pyparsing.py:5504(<lambda>)
   154075    0.087    0.000    0.087    0.000 {built-in method numpy.array}
   144175    0.024    0.000    0.024    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\data.py:23(_get_dtype)
   143979    0.031    0.000    0.031    0.000 {method 'ravel' of 'numpy.ndarray' objects}
    96064    0.023    0.000    0.199    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\_methods.py:38(_amax)
    96064    0.035    0.000    0.234    0.000 {method 'max' of 'numpy.ndarray' objects}
    95798    0.027    0.000    0.027    0.000 {method 'rpartition' of 'str' objects}
    95730    0.044    0.000    0.071    0.000 <frozen importlib._bootstrap>:398(parent)
    95656    0.021    0.000    0.176    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\_methods.py:42(_amin)
    95656    0.034    0.000    0.209    0.000 {method 'min' of 'numpy.ndarray' objects}
    94900    0.111    0.000    0.547    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\compressed.py:864(check_bounds)
    94900    0.152    0.000    1.443    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\_index.py:127(_validate_indices)
    94900    0.311    0.000    0.765    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\_index.py:246(_unpack_index)
    94900    0.061    0.000    0.069    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\_index.py:292(_check_ellipsis)
    94028    0.008    0.000    0.008    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\inspect.py:2546(name)
    83241    0.013    0.000    0.040    0.000 {built-in method builtins.next}
    81531    0.011    0.000    0.013    0.000 {method 'get' of 'dict' objects}
    71594    0.011    0.000    0.011    0.000 {function RcParams.__getitem__ at 0x00000206F0123310}
    71520    0.026    0.000    0.036    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\__init__.py:604(__getitem__)
    68254    0.009    0.000    0.009    0.000 {method 'items' of 'dict' objects}
    62778    0.008    0.000    0.008    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\artist.py:822(get_animated)
62722/52458    0.030    0.000    0.062    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\artist.py:241(stale)
62722/62718    0.015    0.000    0.023    0.000 {built-in method builtins.getattr}
    56144    0.053    0.000    0.053    0.000 {built-in method numpy.empty}
    49230    0.006    0.000    0.006    0.000 {method 'pop' of 'dict' objects}
    47852    0.004    0.000    0.004    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\inspect.py:2550(default)
