Thu Nov 11 18:29:18 2021    output.dat

         200387563 function calls (200265234 primitive calls) in 140.265 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 10004860   13.633    0.000   37.895    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\lil.py:323(__setitem__)
 10004860   12.931    0.000   12.931    0.000 {built-in method scipy.sparse._csparsetools.lil_insert}
     3986    9.785    0.002   45.586    0.011 C:\Users\timot\EI_ST5\processing.py:101(compute_stiffness_matrix)
    15944    8.085    0.001    8.569    0.001 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\lil.py:85(__init__)
 10004860    6.376    0.000   21.206    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\lil.py:299(_set_intXint)
 19132800    5.669    0.000    5.669    0.000 C:\Users\timot\EI_ST5\processing.py:17(is_in_interior_domain)
  2621504    5.210    0.000    5.210    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   518180    4.849    0.000   15.452    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\compressed.py:880(_set_many)
     3986    4.306    0.001    4.306    0.001 {built-in method scipy.sparse.linalg.dsolve._superlu.gssv}
     3986    4.242    0.001   31.108    0.008 C:\Users\timot\EI_ST5\processing.py:224(compute_neumann_condition)
  1036360    3.733    0.000    8.988    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\_index.py:246(_unpack_index)
     3986    3.594    0.001   17.466    0.004 C:\Users\timot\EI_ST5\processing.py:269(compute_robin_condition)
     3986    3.240    0.001   11.632    0.003 C:\Users\timot\EI_ST5\processing.py:185(compute_dirichlet_condition)
 37771935    3.173    0.000    3.222    0.000 {built-in method builtins.isinstance}
   518180    3.005    0.000    3.005    0.000 {built-in method scipy.sparse._sparsetools.get_csr_submatrix}
     3986    2.542    0.001   10.751    0.003 C:\Users\timot\EI_ST5\processing.py:134(compute_mass_matrix)
 22186076    2.175    0.000    2.175    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\base.py:80(get_shape)
     3986    1.856    0.000  132.891    0.033 C:\Users\timot\EI_ST5\processing.py:323(solve_helmholtz)
  1036360    1.736    0.000   17.116    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\_index.py:127(_validate_indices)
  2137117    1.614    0.000    2.557    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\fromnumeric.py:3127(ndim)
  5452848    1.509    0.000    1.509    0.000 C:\Users\timot\EI_ST5\processing.py:45(is_on_neumann_boundary)
  2104608    1.482    0.000    6.427    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\sputils.py:198(isintlike)
  5452848    1.441    0.000    1.441    0.000 C:\Users\timot\EI_ST5\processing.py:31(is_on_dirichlet_boundary)
  5452848    1.421    0.000    1.421    0.000 C:\Users\timot\EI_ST5\processing.py:59(is_on_robin_boundary)
     3986    1.366    0.000    7.159    0.002 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\lil.py:335(_mul_scalar)
