Fri Nov 12 04:02:17 2021    output.dat

         193316222 function calls (193192901 primitive calls) in 125.045 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  9648440   12.111    0.000   33.477    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\lil.py:323(__setitem__)
  9648440   11.481    0.000   11.481    0.000 {built-in method scipy.sparse._csparsetools.lil_insert}
     3844    8.971    0.002   40.735    0.011 C:\Users\timot\EI_ST5\processing.py:101(compute_stiffness_matrix)
    15376    7.404    0.000    7.812    0.001 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\lil.py:85(__init__)
  9648440    5.573    0.000   18.713    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\lil.py:299(_set_intXint)
 18451200    5.300    0.000    5.300    0.000 C:\Users\timot\EI_ST5\processing.py:17(is_in_interior_domain)
  2533013    4.739    0.000    4.739    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   499720    4.358    0.000   13.858    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\compressed.py:880(_set_many)
     3844    3.839    0.001   27.799    0.007 C:\Users\timot\EI_ST5\processing.py:224(compute_neumann_condition)
     3844    3.587    0.001    3.587    0.001 {built-in method scipy.sparse.linalg.dsolve._superlu.gssv}
   999440    3.286    0.000    8.033    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\_index.py:246(_unpack_index)
     3844    3.246    0.001   15.660    0.004 C:\Users\timot\EI_ST5\processing.py:269(compute_robin_condition)
     3844    2.927    0.001   10.460    0.003 C:\Users\timot\EI_ST5\processing.py:185(compute_dirichlet_condition)
 36432847    2.808    0.000    2.850    0.000 {built-in method builtins.isinstance}
   499720    2.674    0.000    2.674    0.000 {built-in method scipy.sparse._sparsetools.get_csr_submatrix}
     3844    2.300    0.001    9.610    0.003 C:\Users\timot\EI_ST5\processing.py:134(compute_mass_matrix)
 21395704    1.918    0.000    1.918    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\base.py:80(get_shape)
     3844    1.645    0.000  118.677    0.031 C:\Users\timot\EI_ST5\processing.py:323(solve_helmholtz)
   999440    1.572    0.000   15.149    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\_index.py:127(_validate_indices)
  2060937    1.386    0.000    2.216    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\fromnumeric.py:3127(ndim)
  5258592    1.348    0.000    1.348    0.000 C:\Users\timot\EI_ST5\processing.py:45(is_on_neumann_boundary)
  2029632    1.324    0.000    5.555    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\sputils.py:198(isintlike)
  5258592    1.298    0.000    1.298    0.000 C:\Users\timot\EI_ST5\processing.py:59(is_on_robin_boundary)
  5258592    1.297    0.000    1.297    0.000 C:\Users\timot\EI_ST5\processing.py:31(is_on_dirichlet_boundary)
   499720    1.221    0.000   23.212    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\_index.py:75(__setitem__)
     3844    1.196    0.000    6.472    0.002 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\lil.py:335(_mul_scalar)
   999440    1.165    0.000    5.752    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\compressed.py:864(check_bounds)
   499720    1.141    0.000    7.705    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\compressed.py:861(_prepare_indices)
  2723462    1.101    0.000    1.101    0.000 {built-in method numpy.asarray}
2273732/2270266    1.019    0.000    3.716    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
   499720    0.995    0.000    5.517    0.000 C:\Users\timot\AppData\Local\Programs\Python\Python39\lib\site-packages\scipy\sparse\compressed.py:643(_get_intXint)
   499720    0.970    0.000    0.970    0.000 {built-in method scipy.sparse._sparsetools.csr_sample_offsets}
